상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220809870251,호텔일루와,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103350075,1,대지,335,75.0,대전광역시 중구 유천동 335-75,301403000093.0,대전광역시 중구 대둔산로,500.0,,3014011500103350075021338,,대전광역시 중구 대둔산로 500,301837,34978,,,,127.389790954736,36.3136045249628
MA010120220809858508,실크더반,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100106940003,1,대지,694,3.0,대전광역시 유성구 봉명동 694-3,302003167044.0,대전광역시 유성구 온천동로,51.0,,3020011100106940003000001,,대전광역시 유성구 온천동로 51,305301,34186,,,,127.35131127258,36.3558237398241
MA010120220810090031,럭셔리모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140640,부사동,3014011100,부사동,3014011100100860010,1,대지,86,10.0,대전광역시 중구 부사동 86-10,301404295151.0,대전광역시 중구 대종로386번길,11.0,,3014011100100860010028065,,대전광역시 중구 대종로386번길 11,301815,34931,,,,127.431570529597,36.320137296065
MA010120220810086784,대동여인숙,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110515,중앙동,3011011900,정동,3011011900100270015,1,대지,27,15.0,대전광역시 동구 정동 27-15,301104292135.0,대전광역시 동구 대전로815번길,13.0,,3011011900100270015021115,,대전광역시 동구 대전로815번길 13,300150,34627,,,,127.431502277794,36.3326013259905
MA010120220810053527,약수장,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110640,용전동,3011011500,용전동,3011011500100630022,1,대지,63,22.0,대전광역시 동구 용전동 63-22,301104292209.0,대전광역시 동구 동서대로1683번길,46.0,11.0,3011011500100630022003707,,대전광역시 동구 동서대로1683번길 46-11,300824,34551,,,,127.436111855173,36.3514052679435
MA010120220810049643,동백여관,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103290027,1,대지,329,27.0,대전광역시 중구 유천동 329-27,301404295544.0,대전광역시 중구 유천로47번길,116.0,,3014011500103290027026581,,대전광역시 중구 유천로47번길 116,301837,34977,,,,127.391724772028,36.3155340524556
MA010120220809993740,풀하우스,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103300027,1,대지,330,27.0,대전광역시 중구 유천동 330-27,301404295538.0,대전광역시 중구 유천로17번안길,50.0,11.0,3014011500103300027023779,,대전광역시 중구 유천로17번안길 50-11,301837,34977,,,,127.392653104064,36.3150160446791
MA010120220810188778,호텔어썸,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30170,서구,30170550,용문동,3017010500,용문동,3017010500105920001,1,대지,592,1.0,대전광역시 서구 용문동 592-1,301704298242.0,대전광역시 서구 도산로369번길,29.0,,3017010500105920001008803,,대전광역시 서구 도산로369번길 29,302845,35300,,,,127.390846055639,36.3382952234687
MA010120220810226586,아트호텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100104400031,1,대지,440,31.0,대전광역시 유성구 봉명동 440-31,302003167047.0,대전광역시 유성구 온천서로,32.0,12.0,3020011100104400031012291,수림모텔,대전광역시 유성구 온천서로 32-12,305301,34168,,,,127.340726508499,36.3571266915066
MA010120220810212446,그리스모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140605,문창동,3014010600,문창동,3014010600100180004,1,대지,18,4.0,대전광역시 중구 문창동 18-4,301403010016.0,대전광역시 중구 인창로,31.0,,3014010600100180004024719,,대전광역시 중구 인창로 31,301809,34929,,,,127.432818750954,36.323090330813
MA010120220810177314,더휴식아늑유성,,I1,숙박,I101,일반 숙박,I10101,호텔/리조트,I55101,호텔업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100105460010,1,대지,546,10.0,대전광역시 유성구 봉명동 546-10,302004301011.0,대전광역시 유성구 계룡로123번길,36.0,,3020011100105460010014031,,대전광역시 유성구 계룡로123번길 36,305301,34187,,,,127.345105556631,36.3544470334872
MA010120220810271495,들꽃펜션,,I1,숙박,I101,일반 숙박,I10103,펜션,I55109,기타 일반 및 생활 숙박시설 운영업,30,대전광역시,30170,서구,30170600,기성동,3017011900,산직동,3017011900104590000,1,대지,459,,대전광역시 서구 산직동 459,301704298487.0,대전광역시 서구 안터길,7.0,20.0,3017011900104590000002659,,대전광역시 서구 안터길 7-20,302050,35426,,,,127.341012549037,36.2344494610618
MA010120220810316813,만월호텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500101420001,1,대지,142,1.0,대전광역시 중구 대흥동 142-1,301404295206.0,대전광역시 중구 대흥로165번길,35.0,,3014010500101420001014337,,대전광역시 중구 대흥로165번길 35,301802,34925,,6,,127.429141093459,36.3264615432479
MA010120220810338674,초롱하우스,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140535,은행선화동,3014010200,선화동,3014010200102320001,1,대지,232,1.0,대전광역시 중구 선화동 232-1,301404295162.0,대전광역시 중구 대종로517번길,39.0,,3014010200102320001013548,,대전광역시 중구 대종로517번길 39,301822,34839,,3,,127.422362277092,36.3289164388911
MA010120220810308956,하이클래스모텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110640,용전동,3011011500,용전동,3011011500100660005,1,대지,66,5.0,대전광역시 동구 용전동 66-5,301104292213.0,대전광역시 동구 동서대로1705번길,79.0,,3011011500100660005002801,,대전광역시 동구 동서대로1705번길 79,300824,34549,,,,127.438337810182,36.3532813408611
MA010120220810248193,더에이치,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30230,대덕구,30230550,신탄진동,3023012600,신탄진동,3023012600101220032,1,대지,122,32.0,대전광역시 대덕구 신탄진동 122-32,302304304316.0,대전광역시 대덕구 신탄진동로23번길,58.0,,3023012600101220032022816,,대전광역시 대덕구 신탄진동로23번길 58,306815,34309,,,,127.431458021949,36.4504389038816
MA010120220810403959,케이7피씨텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100104400007,1,대지,440,7.0,대전광역시 유성구 봉명동 440-7,302003167047.0,대전광역시 유성구 온천서로,32.0,24.0,3020011100104400007011531,K7PC텔,대전광역시 유성구 온천서로 32-24,305301,34168,,,,127.341381514273,36.3574096897054
MA010120220810450088,시애틀부동산,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110640,용전동,3011011500,용전동,3011011500100630008,1,대지,63,8.0,대전광역시 동구 용전동 63-8,301104292209.0,대전광역시 동구 동서대로1683번길,58.0,,3011011500100630008003565,,대전광역시 동구 동서대로1683번길 58,300824,34551,,,,127.435708305413,36.3517458385164
MA010120220810484213,호텔야자대전,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110640,용전동,3011011500,용전동,3011011500100780014,1,대지,78,14.0,대전광역시 동구 용전동 78-14,301104292574.0,대전광역시 동구 한밭대로1316번길,16.0,,3011011500100780014003710,,대전광역시 동구 한밭대로1316번길 16,300824,34550,,,,127.440178604554,36.3513883383488
MA010120220810441604,로또,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30170,서구,30170640,둔산2동,3017011200,둔산동,3017011200113230000,1,대지,1323,,대전광역시 서구 둔산동 1323,301704298177.0,대전광역시 서구 대덕대로234번길,29.0,,3017011200113230000021320,둔산컴포텔,대전광역시 서구 대덕대로234번길 29,302830,35233,,,,127.381388401078,36.3538112234469
MA010120220810413410,투엑스,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100106410007,1,대지,641,7.0,대전광역시 유성구 봉명동 641-7,302003167023.0,대전광역시 유성구 문화원로,116.0,,3020011100106410007012273,피렌체,대전광역시 유성구 문화원로 116,305301,34185,,,,127.348537314525,36.3584492998064
MA010120220810581676,세라돈여관,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140720,문화1동,3014011600,문화동,3014011600100010188,1,대지,1,188.0,대전광역시 중구 문화동 1-188,301403010006.0,대전광역시 중구 대흥로,7.0,5.0,3014011600100010188012373,,대전광역시 중구 대흥로 7-5,301812,34944,,,,127.414855076609,36.321471614312
MA010120220810801035,거인장,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110515,중앙동,3011011900,정동,3011011900100270005,1,대지,27,5.0,대전광역시 동구 정동 27-5,301104292335.0,대전광역시 동구 선화로214번길,65.0,,3011011900100270005021305,,대전광역시 동구 선화로214번길 65,300150,34627,,,,127.431303162424,36.3324111154537
MA010120220810751683,더휴식노크인,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30110,동구,30110640,용전동,3011011500,용전동,3011011500101110003,1,대지,111,3.0,대전광역시 동구 용전동 111-3,301104292574.0,대전광역시 동구 한밭대로1316번길,35.0,,3011011500101110003003992,,대전광역시 동구 한밭대로1316번길 35,300824,34550,,,,127.439347547338,36.3507535662105
MA010120220810961463,호텔얌,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30200,유성구,30200530,온천1동,3020011100,봉명동,3020011100104400012,1,대지,440,12.0,대전광역시 유성구 봉명동 440-12,302003167047.0,대전광역시 유성구 온천서로,30.0,13.0,3020011100104400012013402,프로포즈모텔,대전광역시 유성구 온천서로 30-13,305301,34168,,,,127.340961699395,36.356983789584
MA010120220811133759,알마호텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500100310003,1,대지,31,3.0,대전광역시 중구 대흥동 31-3,301404295205.0,대전광역시 중구 대흥로158번길,13.0,,3014010500100310003024227,,대전광역시 중구 대흥로158번길 13,301802,34928,,,,127.429827004001,36.3240404412312
MA010120220811325361,만금장여관,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,30,대전광역시,30140,중구,30140630,대사동,3014011000,대사동,3014011000100970001,1,대지,97,1.0,대전광역시 중구 대사동 97-1,301403010018.0,대전광역시 중구 충무로,85.0,1.0,3014011000100970001007514,,대전광역시 중구 충무로 85-1,301800,34937,,,,127.426620635457,36.3177884166815
