,지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,공사번호,정류장종류,정류장명,정류장유형,대장초기화여부,위도,경도
235,정류장,2209000223,대전광역시 중구 ,36710067,21744,STT0266000,시내버스,중촌주공3단지,표지설치,1,36.33888428,127.4078516
236,정류장,2209000224,대전광역시 중구 ,36710067,21744,STT0267000,시내버스,중촌주공3단지,유개형(도시형),1,36.33875935,127.4078493
237,정류장,2209000225,대전광역시 중구 ,36710067,27543,STT0268000,시내버스,중천동주민센터,유개형(도시형),1,36.33863718,127.4133243
238,정류장,2209000226,대전광역시 중구 ,36710067,21346,STT0269000,시내버스,선병원,표지설치,1,36.33748505,127.4094044
239,정류장,2209000227,대전광역시 중구 ,36710067,27725,STT0270000,시내버스,선병원,유개형(도시형),1,36.33745832,127.4096216
240,정류장,2209000228,대전광역시 중구 ,36710067,21747,STT0271000,시내버스,목양초등학교,표지설치,1,36.33632189,127.4063203
241,정류장,2209000230,대전광역시 중구 ,36710067,21747,STT0273000,시내버스,목양초등학교,유개형(도시형),1,36.33621273,127.4061406
242,정류장,2209000231,대전광역시 중구 ,36710067,21386,STT0274000,시내버스,목동네거리,표지설치,1,36.33549552,127.41217
243,정류장,2209000232,대전광역시 중구 ,36710067,21389,STT0275000,시내버스,목동네거리,유개형(도시형),1,36.33510221,127.4125024
244,정류장,2209000233,대전광역시 중구 ,36710067,21759,STT0276000,시내버스,목동동대전농협,유개형(도시형),1,36.33469427,127.4073582
245,정류장,2209000234,대전광역시 중구 ,36710067,21760,STT0277000,시내버스,목양마을아파트,유개형(도시형),1,36.33397671,127.4075117
246,정류장,2209000235,대전광역시 중구 ,36710067,27809,STT0278000,시내버스,목동네거리,유개형(도시형),1,36.33371956,127.4121501
247,정류장,2209000236,대전광역시 중구 ,36710067,27810,STT0279000,시내버스,한사랑아파트,유개형(도시형),1,36.3331295,127.4120689
248,정류장,2209000237,대전광역시 중구 ,36710067,27799,STT0280000,시내버스,대성고등학교입구,표지설치,1,36.33216622,127.4099036
249,정류장,2209000238,대전광역시 중구 ,36710067,21862,STT0281000,시내버스,대성고등학교,유개형(도시형),1,36.33133926,127.4099351
